STATE,POCREPRESENTATIVES
Alaska,0
Alabama,1
Arkansas,0
Arizona,2
California,29
Colorado,1
Connecticut,1
Delaware,1
Florida,11
Georgia,5
Hawaii,2
Iowa,0
Idaho,0
Illinois,6
Indiana,1
Kansas,1
Kentucky,0
Louisiana,1
Massachusetts,2
Maryland,2
Maine,0
Michigan,1
Minnesota,1
Missouri,2
Mississippi,1
Montana,0
North Carolina,2
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,4
New Mexico,2
Nevada,1
New York,12
Ohio,3
Oklahoma,2
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,0
Texas,12
Utah,1
Virginia,2
Vermont,0
Washington,3
Wisconsin,1
West Virginia,1
Wyoming,0
