STATE,pp,pw,ww,wp,ppadj,pwadj,wwadj,wpadj
Alabama,0.828793275640203,0.171206724359797,0.77,0.22999999999999998,0.9,0.09999999999999998,0.85,0.15
Alaska,0.4663625455768103,0.5336374544231897,0.5300000000000001,0.46999999999999986,0.6,0.4,0.6,0.4
Arizona,0.6198781415049736,0.38012185849502644,0.52,0.48,0.7,0.30000000000000004,0.6,0.4
Arkansas,0.8037537067787137,0.19624629322128628,0.72,0.28,0.9,0.09999999999999998,0.75,0.25
California,0.7827237521699524,0.21727624783004762,0.47,0.53,0.8,0.19999999999999996,0.6,0.4
Colorado,0.5670628329666739,0.4329371670333261,0.41,0.5900000000000001,0.6,0.4,0.6,0.4
Connecticut,0.8234236362146236,0.17657636378537644,0.43,0.5700000000000001,0.9,0.09999999999999998,0.6,0.4
Delaware,0.8565460801846102,0.1434539198153898,0.4799999999999999,0.52,0.9,0.09999999999999998,0.6,0.4
Florida,0.6675064562594326,0.3324935437405674,0.62,0.38,0.7,0.30000000000000004,0.75,0.25
Georgia,0.8158802477668884,0.1841197522331116,0.69,0.31000000000000005,0.9,0.09999999999999998,0.75,0.25
Hawaii,0.6586290795283787,0.3413709204716213,0.35,0.65,0.7,0.30000000000000004,0.6,0.4
Idaho,0.5558730083246809,0.4441269916753191,0.64,0.36,0.6,0.4,0.75,0.25
Illinois,0.8763617493122768,0.12363825068772316,0.5,0.5,0.9,0.09999999999999998,0.6,0.4
Indiana,0.8065334959731025,0.19346650402689747,0.61,0.39,0.9,0.09999999999999998,0.75,0.25
Iowa,0.7820921144203684,0.2179078855796316,0.55,0.44999999999999996,0.8,0.19999999999999996,0.6,0.4
Kansas,0.7266593649514345,0.27334063504856554,0.59,0.41000000000000003,0.8,0.19999999999999996,0.6,0.4
Kentucky,0.6466580916447526,0.35334190835524737,0.66,0.33999999999999997,0.7,0.30000000000000004,0.75,0.25
Louisiana,0.8179212756035146,0.18207872439648543,0.77,0.22999999999999998,0.9,0.09999999999999998,0.85,0.15
Maine,0.8640809164007939,0.13591908359920613,0.44,0.56,0.9,0.09999999999999998,0.6,0.4
Maryland,0.9155012380813774,0.0844987619186226,0.45999999999999996,0.54,0.9,0.09999999999999998,0.6,0.4
Massachusetts,0.8872218462592592,0.11277815374074085,0.37,0.63,0.9,0.09999999999999998,0.6,0.4
Michigan,0.8301873339162875,0.16981266608371248,0.55,0.44999999999999996,0.9,0.09999999999999998,0.6,0.4
Minnesota,0.7130395114282051,0.2869604885717949,0.47000000000000003,0.53,0.8,0.19999999999999996,0.6,0.4
Mississippi,0.9419085799408722,0.05809142005912782,0.81,0.18999999999999995,0.9,0.09999999999999998,0.85,0.15
Missouri,0.8002985253998968,0.19970147460010323,0.62,0.38,0.9,0.09999999999999998,0.75,0.25
Montana,0.6069016589959914,0.39309834100400864,0.58,0.42000000000000004,0.7,0.30000000000000004,0.6,0.4
Nebraska,0.6915947753398276,0.3084052246601724,0.61,0.39,0.7,0.30000000000000004,0.75,0.25
Nevada,0.6649462097155373,0.3350537902844627,0.56,0.43999999999999995,0.7,0.30000000000000004,0.6,0.4
New Hampshire,0.73854346519938,0.26145653480062003,0.46,0.54,0.8,0.19999999999999996,0.6,0.4
New Jersey,0.7783201236825807,0.22167987631741926,0.49,0.51,0.8,0.19999999999999996,0.6,0.4
New Mexico,0.625801878160828,0.374198121839172,0.48,0.52,0.7,0.30000000000000004,0.6,0.4
New York,0.7931794223834787,0.20682057761652128,0.48000000000000004,0.52,0.8,0.19999999999999996,0.6,0.4
North Carolina,0.7961656956061196,0.2038343043938804,0.66,0.33999999999999997,0.8,0.19999999999999996,0.75,0.25
North Dakota,0.6665183154206734,0.3334816845793266,0.66,0.33999999999999997,0.7,0.30000000000000004,0.75,0.25
Ohio,0.8227063970185802,0.17729360298141983,0.6,0.4,0.9,0.09999999999999998,0.6,0.4
Oklahoma,0.5099982046860676,0.4900017953139324,0.71,0.29000000000000004,0.6,0.4,0.75,0.25
Oregon,0.6004771323627827,0.39952286763721734,0.39,0.61,0.7,0.30000000000000004,0.6,0.4
Pennsylvania,0.8720634347025823,0.1279365652974177,0.57,0.43000000000000005,0.9,0.09999999999999998,0.6,0.4
Rhode Island,0.8099573255972842,0.19004267440271583,0.41,0.5900000000000001,0.9,0.09999999999999998,0.6,0.4
South Carolina,0.7915703308946442,0.20842966910535576,0.73,0.27,0.8,0.19999999999999996,0.75,0.25
South Dakota,0.6108700230530842,0.38912997694691576,0.63,0.37,0.7,0.30000000000000004,0.75,0.25
Tennessee,0.8632643517458527,0.1367356482541473,0.69,0.31000000000000005,0.9,0.09999999999999998,0.75,0.25
Texas,0.6842319690805116,0.31576803091948835,0.66,0.33999999999999997,0.7,0.30000000000000004,0.75,0.25
Utah,0.6006394878148367,0.39936051218516333,0.59,0.41000000000000003,0.7,0.30000000000000004,0.6,0.4
Vermont,0.9947966382016388,0.005203361798361228,0.31,0.69,0.9,0.09999999999999998,0.6,0.4
Virginia,0.7577177878606033,0.2422822121393967,0.53,0.47,0.8,0.19999999999999996,0.6,0.4
Washington,0.5018959660329456,0.4981040339670544,0.36,0.64,0.6,0.4,0.6,0.4
West Virginia,0.9102935372155935,0.08970646278440653,0.71,0.29000000000000004,0.9,0.09999999999999998,0.75,0.25
Wisconsin,0.7479375511022661,0.2520624488977339,0.52,0.48,0.8,0.19999999999999996,0.6,0.4
Wyoming,0.23632414767408214,0.7636758523259178,0.69,0.31000000000000005,0.6,0.4,0.75,0.25
