STATE,POPULATION,REPRESENTATIVES,CHANGE
Alabama,5030053,7,0
Alaska,736081,1,0
Arizona,7158923,9,0
Arkansas,3013756,4,0
California,39576757,52,-1
Colorado,5782171,8,1
Connecticut,3608298,5,0
Delaware,990837,1,0
Florida,21570527,28,1
Georgia,10725274,14,0
Hawaii,1460137,2,0
Idaho,1841377,2,0
Illinois,12822739,17,-1
Indiana,6790280,9,0
Iowa,3192406,4,0
Kansas,2940865,4,0
Kentucky,4509342,6,0
Louisiana,4661468,6,0
Maine,1363582,2,0
Maryland,6185278,8,0
Massachusetts,7033469,9,0
Michigan,10084442,13,-1
Minnesota,5709752,8,0
Mississippi,2963914,4,0
Missouri,6160281,8,0
Montana,1085407,2,1
Nebraska,1963333,3,0
Nevada,3108462,4,0
New Hampshire,1379089,2,0
New Jersey,9294493,12,0
New Mexico,2120220,3,0
New York,20215751,26,-1
North Carolina,10453948,14,1
North Dakota,779702,1,0
Ohio,11808848,15,-1
Oklahoma,3963516,5,0
Oregon,4241500,6,1
Pennsylvania,13011844,17,-1
Rhode Island,1098163,2,0
South Carolina,5124712,7,0
South Dakota,887770,1,0
Tennessee,6916897,9,0
Texas,29183290,38,2
Utah,3275252,4,0
Vermont,643503,1,0
Virginia,8654542,11,0
Washington,7715946,10,0
West Virginia,1795045,2,-1
Wisconsin,5897473,8,0
Wyoming,577719,1,0
