STATE,2020_PRES_D,2020_PRES_R,2020_PRES_3P
Arizona,"1,672,143","1,661,686","53,497"
Florida,"5,297,045","5,668,731","101,680"
Georgia,"2,473,633","2,461,854","62,229"
Iowa,"759,061","897,672","34,138"
Michigan,"2,804,040","2,649,852","85,410"
Minnesota,"1,717,077","1,484,065","76,029"
Nevada,"703,486","669,890","32,000"
New Hampshire,"424,921","365,654","15,607"
North Carolina,"2,684,292","2,758,775","81,737"
Ohio,"2,679,165","3,154,834","88,203"
Pennsylvania,"3,458,229","3,377,674","79,380"
Texas,"5,259,126","5,890,347","165,583"
Wisconsin,"1,630,866","1,610,184","56,991"
Alabama,"849,624","1,441,170","32,488"
Alaska,"153,778","189,951","15,801"
Arkansas,"423,932","760,647","34,490"
California,"11,110,250","6,006,429","384,192"
Colorado,"1,804,352","1,364,607","87,993"
Connecticut,"1,080,831","714,717","28,309"
Delaware,"296,268","200,603","7,475"
Hawaii,"366,130","196,864","11,475"
Idaho,"287,021","554,119","26,091"
Illinois,"3,471,915","2,446,891","114,938"
Indiana,"1,242,413","1,729,516","61,183"
Kansas,"570,323","771,406","30,574"
Kentucky,"772,474","1,326,646","37,648"
Louisiana,"856,034","1,255,776","36,252"
Maine,"435,072","360,737","23,652"
Maryland,"1,985,023","976,414","75,593"
Massachusetts,"2,382,202","1,167,202","81,998"
Mississippi,"539,508","756,789","17,597"
Missouri,"1,253,014","1,718,736","54,212"
Montana,"244,786","343,602","15,286"
Nebraska,"374,583","556,846","20,283"
New Jersey,"2,608,335","1,883,274","57,744"
New Mexico,"501,614","401,894","20,457"
New York,"5,244,886","3,251,997","119,978"
North Dakota,"114,902","235,595","11,322"
Oklahoma,"503,890","1,020,280","36,529"
Oregon,"1,340,383","958,448","75,490"
Rhode Island,"307,486","199,922","10,349"
South Carolina,"1,091,541","1,385,103","36,685"
South Dakota,"150,471","261,043","11,095"
Tennessee,"1,143,711","1,852,475","57,665"
Utah,"560,282","865,140","62,867"
Vermont,"242,820","112,704","11,904"
Virginia,"2,413,568","1,962,430","84,526"
Washington,"2,369,612","1,584,651","133,368"
West Virginia,"235,984","545,382","13,286"
Wyoming,"73,491","193,559","9,715"
